timestamp,date,play-hw:0Src,play-hw:0,rec-hw:0
257.412,2015-04-11T16:31:10.476,0.000005,0.000066,nan
260.414,2015-04-11T16:31:13.478,0.000005,0.000056,nan
263.413,2015-04-11T16:31:16.477,0.000005,0.000046,nan
266.416,2015-04-11T16:31:19.481,0.000005,0.000043,nan
269.416,2015-04-11T16:31:22.480,0.000005,0.000055,nan
272.413,2015-04-11T16:31:25.477,0.000005,0.000050,nan
275.413,2015-04-11T16:31:28.478,0.000004,0.000068,nan
278.415,2015-04-11T16:31:31.480,0.000005,0.000052,nan
281.417,2015-04-11T16:31:34.481,0.000004,0.000046,nan
284.415,2015-04-11T16:31:37.479,0.000004,0.000042,nan
287.413,2015-04-11T16:31:40.477,nan,0.000074,nan
290.412,2015-04-11T16:31:43.477,0.000006,0.000064,nan
293.416,2015-04-11T16:31:46.481,0.000005,0.000057,nan
296.411,2015-04-11T16:31:49.475,0.000005,0.000067,nan
299.414,2015-04-11T16:31:52.478,0.000005,0.000053,nan
302.413,2015-04-11T16:31:55.478,0.000005,0.000042,nan
305.423,2015-04-11T16:31:58.487,0.000004,0.000072,nan
308.412,2015-04-11T16:32:01.476,0.000004,0.000045,nan
